index,Address,State,City,Postal Code,Index,Location,Latitude,Longitude
99,8610 Elk Grove Blvd,CA,Elk Grove,95624,100,"8610 Elk Grove Blvd Elk Grove, CA",38.408687,-121.384917
100,8841 Sheldon Road,CA,Elk Grove,95624,101,"8841 Sheldon Road Elk Grove, CA",38.438312,-121.372344
101,4750 Florin RD,CA,Sacramento,95823,102,"4750 Florin RD Sacramento, CA",38.495517,-121.450567
102,2602 Kettleman Ln,CA,Lodi,95242,103,"2602 Kettleman Ln Lodi, CA",38.115088,-121.308025
103,530 S Cherokee Ln,CA,Lodi,95240,104,"530 S Cherokee Ln Lodi, CA",38.128294,-121.260014
104,325 Pine ST,CA,Galt,95632,105,"325 Pine ST Galt, CA",38.252888,-121.294098
105,7445 Madison Ave.,CA,Citrus Heights,95610,106,"7445 Madison Ave. Citrus Heights, CA",38.6641,-121.290757
106,5289 Auburn Blvd.,CA,Sacramento,95841,107,"5289 Auburn Blvd. Sacramento, CA",38.665601,-121.34279
107,8552 Madison Ave,CA,Fair Oaks,95628,108,"8552 Madison Ave Fair Oaks, CA",38.664044,-121.242971
108,4625 Manzanita Ave.,CA,Carmichael,95608,109,"4625 Manzanita Ave. Carmichael, CA",38.648767,-121.328138
109,4341 Antelope Dr.,CA,Antelope,95843,110,"4341 Antelope Dr. Antelope, CA",38.704447,-121.362401
110,7853 Lichen DR,CA,Citrus Heights,95621,111,"7853 Lichen DR Citrus Heights, CA",38.708323,-121.313479
111,1300 Mendocino Ave.,CA,Santa Rosa,95401,112,"1300 Mendocino Ave. Santa Rosa, CA",38.453129,-122.71699
112,560 L St.,CA,Crescent City,95531,113,"560 L St. Crescent City, CA",41.755841,-124.196221
113,3995 Grass Valley Hwy.,CA,Auburn,95602,114,"3995 Grass Valley Hwy. Auburn, CA",38.956333,-121.101728
114,3450 Sunset Blvd.,CA,Rocklin,95677,115,"3450 Sunset Blvd. Rocklin, CA",38.784571,-121.248357
115,405 Grass Valley Hwy,CA,Auburn,95603,116,"405 Grass Valley Hwy Auburn, CA",38.90453,-121.077006
116,2094 Nevada City Hwy,CA,Grass Valley,95945,117,"2094 Nevada City Hwy Grass Valley, CA",39.238093,-121.036811
117,1108 Broadway,CA,Eureka,95501,118,"1108 Broadway Eureka, CA",40.796349,-124.17583
118,430 N St.,CA,Eureka,95501,119,"430 N St. Eureka, CA",40.803458,-124.157661
119,1332 E. Main St.,CA,Woodland,95776,120,"1332 E. Main St. Woodland, CA",38.677017,-121.76042
120,7 Main St.,CA,Woodland,95695,121,"7 Main St. Woodland, CA",38.677715,-121.783348
121,980 W. Olive Dr.,CA,Davis,95616,122,"980 W. Olive Dr. Davis, CA",38.54044,-121.738571
122,2375 North First Street,CA,Dixon,95620,123,"2375 North First Street Dixon, CA",38.468023,-121.823032
123,2030 Trade Court,CA,Woodland,95776,124,"2030 Trade Court Woodland, CA",38.675975,-121.727779
124,1115 Pitt School Road Dixon,CA,Dixon,95620,125,"1115 Pitt School Road Dixon Dixon, CA",38.455793,-121.841293
125,1092 Main St.,CA,Oakley,95461,126,"1092 Main St. Oakley, CA",38.005505,-121.748991
126,8870 Brentwood Blvd,CA,Brentwood,94513,127,"8870 Brentwood Blvd Brentwood, CA",37.922194,-121.687109
127,2221 Churn Creek,CA,Redding,96002,128,"2221 Churn Creek Redding, CA",40.575504,-122.352668
128,695 N. Market St.,CA,Redding,96003,129,"695 N. Market St. Redding, CA",40.59637,-122.386712
129,2900 Churn Creek Rd.,CA,Redding,96002,130,"2900 Churn Creek Rd. Redding, CA",40.565657,-122.353519
130,3025 South Market,CA,Redding,96001,131,"3025 South Market Redding, CA",40.569027,-122.387708
131,8548 Airport Rd.,CA,Redding,96002,132,"8548 Airport Rd. Redding, CA",40.536156,-122.303143
132,9477 Deschutes Rd.,CA,Palo Cedro,96073,133,"9477 Deschutes Rd. Palo Cedro, CA",40.563291,-122.238443
133,1200 Market St.,CA,Redding,96001,134,"1200 Market St. Redding, CA",40.587406,-122.392372
134,5025 Rhonda Road,CA,Anderson,96007,135,"5025 Rhonda Road Anderson, CA",40.433792,-122.288986
135,480 E. Park Ave.,CA,Chico,95928,136,"480 E. Park Ave. Chico, CA",39.71505,-121.805546
136,2393 Cohasset Rd.,CA,Chico,95928,137,"2393 Cohasset Rd. Chico, CA",39.757754,-121.844369
137,1733 Esplanade,CA,Chico,95928,138,"1733 Esplanade Chico, CA",39.744832,-121.851282
138,196 Humboldt Avenue,CA,Chico,95928,139,"196 Humboldt Avenue Chico, CA",39.725697,-121.834107
139,13401 Garner Ln,CA,Chico,95973,140,"13401 Garner Ln Chico, CA",39.790099,-121.892293
140,1420 W. Texas St.,CA,Fairfield,94533,141,"1420 W. Texas St. Fairfield, CA",38.249574,-122.053095
141,101 Peabody Road,CA,Vacaville,95687,142,"101 Peabody Road Vacaville, CA",38.353582,-121.975823
142,3500 Alamo Dr,CA,Vacaville,95687,143,"3500 Alamo Dr Vacaville, CA",38.334988,-121.952394
143,1000A Riley St,CA,Folsom,95630,144,"1000A Riley St Folsom, CA",38.67072,-121.169083
144,9922 Live Oak Blvd.,CA,Live Oak,95953,145,"9922 Live Oak Blvd. Live Oak, CA",39.273981,-121.661156
